visitid,zoneid,userid,duration,entryTime,exitTime
466,1,480,8,17/05/2017 06:37,17/05/2017 06:45
467,1,861,50,25/03/2017 18:28,25/03/2017 19:18
468,3,229,54,07/02/2017 01:38,07/02/2017 02:32
469,3,576,38,26/06/2017 01:47,26/06/2017 02:25
470,3,468,52,23/01/2017 06:13,23/01/2017 07:05
471,1,330,14,20/08/2017 13:56,20/08/2017 14:10
472,1,453,41,06/04/2017 14:39,06/04/2017 15:20
473,3,553,65,29/06/2017 18:05,29/06/2017 19:10
474,1,605,43,16/01/2017 11:07,16/01/2017 11:50
475,3,10,47,05/03/2017 03:13,05/03/2017 04:00
476,3,496,49,16/02/2017 19:30,16/02/2017 20:19
477,1,629,83,07/03/2017 08:56,07/03/2017 10:19
478,3,266,56,21/01/2017 04:31,21/01/2017 05:27
479,3,590,5,27/02/2017 11:31,27/02/2017 11:36
480,2,267,5,03/05/2017 12:36,03/05/2017 12:41
481,2,428,21,22/05/2017 10:07,22/05/2017 10:28
482,3,935,78,18/06/2017 00:34,18/06/2017 01:52
483,2,905,69,26/01/2017 07:09,26/01/2017 08:18
484,3,306,81,15/03/2017 03:59,15/03/2017 05:20
485,3,489,70,14/08/2017 12:50,14/08/2017 14:00
486,2,117,16,11/05/2017 00:34,11/05/2017 00:50
487,3,465,5,23/04/2017 20:54,23/04/2017 20:59
488,3,235,39,22/07/2017 09:52,22/07/2017 10:31
489,3,345,65,25/06/2017 23:21,26/06/2017 00:26
490,3,39,84,11/01/2017 04:53,11/01/2017 06:17
491,3,247,83,07/08/2017 09:15,07/08/2017 10:38
492,3,799,9,29/04/2017 20:58,29/04/2017 21:07
493,3,490,45,02/04/2017 09:08,02/04/2017 09:53
494,1,39,18,29/05/2017 23:01,29/05/2017 23:19
495,2,30,84,28/02/2017 13:40,28/02/2017 15:04
496,2,90,87,08/07/2017 05:01,08/07/2017 06:28
497,2,742,48,15/03/2017 19:25,15/03/2017 20:13
498,3,518,47,15/01/2017 21:54,15/01/2017 22:41
499,1,898,29,28/06/2017 18:29,28/06/2017 18:58
500,1,109,6,11/08/2017 13:48,11/08/2017 13:54
501,2,428,25,22/01/2017 06:25,22/01/2017 06:50
502,2,623,42,06/05/2017 18:14,06/05/2017 18:56
503,3,46,19,18/01/2017 16:00,18/01/2017 16:19
504,2,503,59,29/07/2017 08:17,29/07/2017 09:16
505,1,936,6,17/03/2017 12:04,17/03/2017 12:10
506,3,569,59,07/01/2017 05:47,07/01/2017 06:46
507,1,899,90,28/03/2017 22:45,29/03/2017 00:15
508,2,654,60,20/01/2017 10:02,20/01/2017 11:02
509,1,676,51,02/03/2017 02:12,02/03/2017 03:03
510,2,28,12,17/06/2017 18:04,17/06/2017 18:16
511,3,926,66,13/05/2017 17:23,13/05/2017 18:29
512,2,273,2,04/06/2017 17:49,04/06/2017 17:51
513,2,899,9,23/03/2017 10:55,23/03/2017 11:04
514,2,997,57,02/06/2017 22:54,02/06/2017 23:51
515,1,675,36,31/07/2017 09:57,31/07/2017 10:33
516,1,652,67,15/05/2017 22:59,16/05/2017 00:06
517,2,852,16,07/01/2017 07:33,07/01/2017 07:49
518,3,631,5,13/02/2017 21:47,13/02/2017 21:52
519,2,631,84,17/03/2017 01:58,17/03/2017 03:22
520,2,512,20,30/08/2017 11:54,30/08/2017 12:14
521,3,198,57,14/07/2017 08:57,14/07/2017 09:54
522,1,852,5,19/05/2017 03:46,19/05/2017 03:51
523,3,289,35,09/02/2017 16:40,09/02/2017 17:15
524,2,805,15,20/07/2017 12:03,20/07/2017 12:18
525,2,170,23,17/03/2017 01:10,17/03/2017 01:33
526,2,211,2,20/06/2017 08:18,20/06/2017 08:20
527,1,894,44,20/04/2017 04:06,20/04/2017 04:50
528,2,857,39,03/06/2017 15:21,03/06/2017 16:00
529,3,401,12,23/04/2017 01:38,23/04/2017 01:50
530,2,537,2,14/08/2017 22:44,14/08/2017 22:46
531,1,179,29,17/08/2017 13:31,17/08/2017 14:00
532,2,691,53,07/07/2017 05:37,07/07/2017 06:30
533,2,84,76,06/05/2017 18:45,06/05/2017 20:01
534,2,555,58,17/01/2017 07:23,17/01/2017 08:21
535,1,107,46,27/03/2017 07:06,27/03/2017 07:52
536,1,525,21,23/08/2017 05:52,23/08/2017 06:13
537,3,315,26,08/03/2017 04:34,08/03/2017 05:00
538,2,823,71,22/07/2017 09:02,22/07/2017 10:13
539,1,488,30,19/08/2017 15:04,19/08/2017 15:34
540,1,626,47,15/04/2017 19:22,15/04/2017 20:09
541,1,242,2,18/07/2017 21:20,18/07/2017 21:22
542,1,878,39,25/08/2017 00:08,25/08/2017 00:47
543,1,321,58,23/03/2017 16:29,23/03/2017 17:27
544,2,300,55,28/03/2017 19:06,28/03/2017 20:01
545,2,7,74,26/08/2017 04:56,26/08/2017 06:10
546,1,929,68,11/04/2017 05:14,11/04/2017 06:22
547,3,897,35,03/08/2017 04:51,03/08/2017 05:26
548,1,246,72,15/02/2017 22:54,16/02/2017 00:06
549,2,623,3,08/08/2017 09:23,08/08/2017 09:26
550,1,719,70,12/01/2017 17:25,12/01/2017 18:35
551,2,610,49,16/02/2017 14:43,16/02/2017 15:32
552,1,293,83,17/01/2017 12:37,17/01/2017 14:00
553,1,449,41,20/08/2017 09:26,20/08/2017 10:07
554,3,162,31,10/06/2017 22:26,10/06/2017 22:57
555,1,362,27,07/02/2017 22:21,07/02/2017 22:48
556,1,646,46,06/06/2017 09:09,06/06/2017 09:55
557,3,572,41,01/07/2017 06:00,01/07/2017 06:41
558,3,712,33,20/03/2017 02:07,20/03/2017 02:40
559,1,377,58,16/07/2017 22:16,16/07/2017 23:14
560,2,793,22,22/07/2017 10:39,22/07/2017 11:01
561,3,913,28,22/03/2017 07:48,22/03/2017 08:16
562,1,115,4,03/07/2017 15:38,03/07/2017 15:42
563,3,154,55,05/08/2017 18:20,05/08/2017 19:15
564,3,920,76,13/02/2017 08:56,13/02/2017 10:12
565,3,637,35,12/04/2017 16:35,12/04/2017 17:10
566,3,451,73,30/07/2017 09:49,30/07/2017 11:02
567,3,832,62,14/02/2017 05:20,14/02/2017 06:22
568,2,823,6,25/03/2017 04:09,25/03/2017 04:15
569,3,670,68,29/03/2017 08:32,29/03/2017 09:40
570,2,113,7,26/07/2017 08:58,26/07/2017 09:05
571,1,201,79,14/03/2017 11:47,14/03/2017 13:06
572,1,443,55,24/07/2017 17:40,24/07/2017 18:35
573,1,122,9,17/07/2017 13:09,17/07/2017 13:18
574,1,646,41,19/07/2017 17:32,19/07/2017 18:13
575,2,312,14,26/05/2017 05:03,26/05/2017 05:17
576,1,435,90,15/07/2017 22:40,16/07/2017 00:10
577,1,996,90,20/05/2017 06:45,20/05/2017 08:15
578,1,88,10,04/05/2017 14:11,04/05/2017 14:21
579,2,788,19,29/05/2017 07:01,29/05/2017 07:20
580,3,440,51,29/01/2017 19:43,29/01/2017 20:34
581,2,692,7,01/09/2017 15:58,01/09/2017 16:05
582,2,590,63,20/02/2017 13:06,20/02/2017 14:09
583,3,48,78,08/07/2017 18:30,08/07/2017 19:48
584,1,390,79,26/05/2017 03:53,26/05/2017 05:12
585,3,978,5,06/06/2017 06:11,06/06/2017 06:16
586,1,165,27,03/07/2017 16:50,03/07/2017 17:17
587,3,704,67,06/02/2017 03:28,06/02/2017 04:35
588,1,251,70,30/04/2017 02:44,30/04/2017 03:54
589,2,942,40,24/08/2017 14:28,24/08/2017 15:08
590,2,132,63,01/09/2017 20:09,01/09/2017 21:12
591,1,156,64,12/05/2017 11:12,12/05/2017 12:16
592,1,286,85,11/06/2017 21:24,11/06/2017 22:49
593,3,425,85,09/03/2017 19:27,09/03/2017 20:52
594,2,931,54,07/04/2017 03:33,07/04/2017 04:27
595,3,460,64,12/03/2017 19:23,12/03/2017 20:27
596,2,392,9,03/09/2017 12:24,03/09/2017 12:33
597,2,780,56,31/01/2017 06:49,31/01/2017 07:45
598,3,698,20,19/04/2017 11:43,19/04/2017 12:03
599,3,16,56,02/01/2017 21:55,02/01/2017 22:51
600,2,897,30,12/05/2017 18:05,12/05/2017 18:35
601,2,481,3,02/02/2017 21:02,02/02/2017 21:05
602,3,136,56,07/03/2017 01:15,07/03/2017 02:11
603,1,747,63,21/01/2017 00:29,21/01/2017 01:32
604,1,151,78,13/08/2017 00:16,13/08/2017 01:34
605,3,718,80,24/07/2017 04:35,24/07/2017 05:55
606,1,819,29,03/07/2017 13:38,03/07/2017 14:07
607,3,365,64,03/08/2017 10:45,03/08/2017 11:49
608,2,772,19,03/01/2017 06:34,03/01/2017 06:53
609,3,333,71,03/02/2017 23:35,04/02/2017 00:46
610,3,242,84,24/05/2017 23:20,25/05/2017 00:44
611,1,990,40,04/03/2017 15:36,04/03/2017 16:16
612,1,485,19,01/03/2017 12:27,01/03/2017 12:46
613,2,871,20,14/05/2017 20:10,14/05/2017 20:30
614,3,620,22,17/06/2017 13:30,17/06/2017 13:52
615,1,277,7,16/06/2017 13:19,16/06/2017 13:26
616,2,338,22,02/06/2017 22:55,02/06/2017 23:17
617,3,574,76,03/03/2017 09:07,03/03/2017 10:23
618,3,660,73,31/01/2017 00:33,31/01/2017 01:46
619,3,524,6,26/07/2017 04:58,26/07/2017 05:04
620,1,836,22,04/07/2017 22:01,04/07/2017 22:23
621,2,194,3,02/05/2017 10:08,02/05/2017 10:11
622,3,548,31,16/05/2017 16:25,16/05/2017 16:56
623,2,812,86,27/01/2017 07:25,27/01/2017 08:51
624,2,429,22,06/07/2017 07:28,06/07/2017 07:50
625,2,498,3,06/08/2017 11:56,06/08/2017 11:59
626,2,230,68,01/08/2017 01:38,01/08/2017 02:46
627,2,229,34,27/02/2017 21:30,27/02/2017 22:04
628,2,294,72,17/05/2017 21:02,17/05/2017 22:14
629,1,840,12,05/02/2017 20:11,05/02/2017 20:23
630,3,861,34,24/08/2017 09:25,24/08/2017 09:59
631,2,769,54,22/05/2017 22:33,22/05/2017 23:27
632,1,412,76,05/06/2017 02:37,05/06/2017 03:53
633,3,526,9,28/07/2017 17:48,28/07/2017 17:57
634,3,448,29,11/07/2017 12:32,11/07/2017 13:01
635,3,260,45,22/05/2017 14:10,22/05/2017 14:55
636,1,659,10,19/02/2017 01:05,19/02/2017 01:15
637,3,898,22,23/08/2017 08:49,23/08/2017 09:11
638,1,796,29,22/07/2017 04:46,22/07/2017 05:15
639,1,311,72,11/05/2017 01:24,11/05/2017 02:36
640,2,353,27,31/03/2017 15:53,31/03/2017 16:20
641,1,955,80,26/07/2017 13:21,26/07/2017 14:41
642,3,788,79,23/03/2017 03:20,23/03/2017 04:39
643,2,225,35,16/02/2017 12:43,16/02/2017 13:18
644,2,848,53,28/04/2017 09:30,28/04/2017 10:23
645,2,773,78,26/08/2017 23:45,27/08/2017 01:03
646,3,701,8,30/06/2017 14:24,30/06/2017 14:32
647,3,263,62,24/02/2017 02:58,24/02/2017 04:00
648,1,602,82,04/03/2017 20:59,04/03/2017 22:21
649,3,455,68,12/07/2017 01:03,12/07/2017 02:11
650,1,520,18,30/05/2017 14:43,30/05/2017 15:01
651,3,527,73,03/08/2017 00:48,03/08/2017 02:01
652,2,316,40,16/03/2017 04:27,16/03/2017 05:07
653,2,827,42,09/07/2017 15:06,09/07/2017 15:48
654,3,672,60,22/06/2017 23:13,23/06/2017 00:13
655,1,166,75,20/02/2017 03:38,20/02/2017 04:53
656,3,640,52,03/08/2017 09:39,03/08/2017 10:31
657,2,429,11,22/05/2017 12:22,22/05/2017 12:33
658,1,193,53,05/02/2017 15:25,05/02/2017 16:18
659,2,655,39,04/06/2017 13:04,04/06/2017 13:43
660,3,835,85,14/06/2017 15:31,14/06/2017 16:56
661,2,519,38,08/05/2017 07:04,08/05/2017 07:42
662,3,38,54,25/04/2017 11:33,25/04/2017 12:27
663,1,978,47,30/07/2017 17:19,30/07/2017 18:06
664,3,783,4,20/06/2017 02:21,20/06/2017 02:25
665,2,978,21,16/04/2017 05:48,16/04/2017 06:09
666,2,975,15,21/07/2017 18:48,21/07/2017 19:03
667,3,421,30,02/07/2017 11:32,02/07/2017 12:02
668,2,541,88,21/01/2017 19:38,21/01/2017 21:06
669,1,698,61,18/07/2017 18:53,18/07/2017 19:54
670,3,429,34,26/02/2017 23:47,27/02/2017 00:21
671,3,954,10,12/03/2017 18:39,12/03/2017 18:49
672,3,717,71,03/01/2017 16:29,03/01/2017 17:40
673,3,542,9,19/03/2017 03:33,19/03/2017 03:42
674,3,767,46,17/07/2017 16:30,17/07/2017 17:16
675,1,580,85,20/04/2017 07:48,20/04/2017 09:13
676,3,551,84,14/04/2017 18:22,14/04/2017 19:46
677,2,710,55,19/01/2017 03:21,19/01/2017 04:16
678,1,116,62,17/01/2017 20:00,17/01/2017 21:02
679,1,542,90,14/07/2017 21:45,14/07/2017 23:15
680,3,115,26,04/07/2017 03:20,04/07/2017 03:46
681,1,893,65,26/06/2017 23:02,27/06/2017 00:07
682,3,463,29,13/07/2017 19:49,13/07/2017 20:18
683,2,381,60,14/03/2017 20:04,14/03/2017 21:04
684,3,322,68,28/07/2017 20:40,28/07/2017 21:48
685,1,985,24,26/02/2017 19:09,26/02/2017 19:33
686,2,866,45,05/01/2017 13:50,05/01/2017 14:35
687,2,828,72,22/06/2017 20:26,22/06/2017 21:38
688,3,659,28,29/07/2017 03:37,29/07/2017 04:05
689,2,690,29,11/08/2017 16:12,11/08/2017 16:41
690,3,168,53,21/01/2017 23:53,22/01/2017 00:46
691,1,58,10,25/03/2017 21:07,25/03/2017 21:17
692,2,503,48,24/05/2017 03:39,24/05/2017 04:27
693,3,308,52,26/06/2017 09:44,26/06/2017 10:36
694,2,780,33,16/03/2017 17:59,16/03/2017 18:32
695,1,259,41,04/03/2017 21:22,04/03/2017 22:03
696,3,284,54,21/08/2017 08:49,21/08/2017 09:43
697,2,62,60,24/06/2017 18:13,24/06/2017 19:13
698,1,127,60,17/03/2017 03:53,17/03/2017 04:53
699,2,797,66,12/06/2017 20:16,12/06/2017 21:22
700,3,879,90,26/01/2017 13:37,26/01/2017 15:07
701,2,939,46,08/08/2017 18:30,08/08/2017 19:16
702,2,360,60,02/06/2017 15:12,02/06/2017 16:12
703,1,65,66,26/08/2017 11:12,26/08/2017 12:18
704,2,569,70,27/03/2017 14:23,27/03/2017 15:33
705,1,180,32,23/01/2017 04:56,23/01/2017 05:28
706,3,260,30,12/02/2017 00:03,12/02/2017 00:33
707,3,418,54,16/07/2017 22:44,16/07/2017 23:38
708,2,330,37,09/04/2017 04:16,09/04/2017 04:53
709,3,69,64,20/03/2017 10:55,20/03/2017 11:59
710,1,692,30,07/02/2017 11:59,07/02/2017 12:29
711,2,902,26,22/03/2017 14:49,22/03/2017 15:15
712,1,674,19,01/05/2017 02:34,01/05/2017 02:53
713,2,596,36,02/03/2017 03:58,02/03/2017 04:34
714,1,840,18,24/02/2017 01:03,24/02/2017 01:21
715,2,672,87,14/07/2017 06:50,14/07/2017 08:17
716,2,753,50,16/04/2017 04:44,16/04/2017 05:34
717,1,451,28,10/08/2017 11:57,10/08/2017 12:25
718,2,809,39,20/05/2017 16:01,20/05/2017 16:40
719,2,451,24,10/02/2017 14:54,10/02/2017 15:18
720,2,677,17,11/08/2017 18:26,11/08/2017 18:43
721,2,594,7,12/05/2017 21:31,12/05/2017 21:38
722,2,590,59,31/05/2017 10:51,31/05/2017 11:50
723,1,455,67,03/08/2017 21:20,03/08/2017 22:27
724,2,774,73,07/05/2017 22:48,08/05/2017 00:01
725,2,564,50,13/02/2017 09:31,13/02/2017 10:21
726,3,542,3,17/03/2017 21:45,17/03/2017 21:48
727,1,469,19,26/08/2017 02:12,26/08/2017 02:31
728,2,547,78,12/08/2017 02:49,12/08/2017 04:07
729,2,231,83,30/07/2017 19:37,30/07/2017 21:00
730,3,855,28,08/03/2017 11:38,08/03/2017 12:06
731,1,550,27,25/06/2017 16:34,25/06/2017 17:01
732,3,294,70,17/05/2017 02:36,17/05/2017 03:46
733,2,380,47,01/04/2017 18:54,01/04/2017 19:41
734,2,138,25,28/07/2017 05:49,28/07/2017 06:14
735,1,206,16,26/07/2017 20:50,26/07/2017 21:06
736,1,67,72,01/05/2017 21:14,01/05/2017 22:26
737,3,581,42,08/01/2017 23:04,08/01/2017 23:46
738,3,801,23,16/01/2017 07:59,16/01/2017 08:22
739,2,141,63,24/07/2017 20:02,24/07/2017 21:05
740,3,72,15,23/08/2017 02:37,23/08/2017 02:52
741,2,182,73,01/01/2017 13:45,01/01/2017 14:58
742,1,902,19,03/04/2017 00:27,03/04/2017 00:46
743,1,546,40,28/02/2017 20:09,28/02/2017 20:49
744,2,759,8,08/07/2017 20:30,08/07/2017 20:38
745,3,567,54,15/05/2017 10:11,15/05/2017 11:05
746,2,567,58,21/08/2017 15:57,21/08/2017 16:55
747,3,854,14,07/06/2017 14:17,07/06/2017 14:31
748,2,641,29,08/02/2017 14:04,08/02/2017 14:33
749,1,631,20,15/02/2017 21:29,15/02/2017 21:49
750,3,672,87,21/03/2017 07:06,21/03/2017 08:33
751,1,796,69,11/02/2017 10:49,11/02/2017 11:58
752,2,596,81,26/08/2017 01:11,26/08/2017 02:32
753,2,466,31,21/04/2017 13:50,21/04/2017 14:21
754,2,290,15,22/06/2017 18:10,22/06/2017 18:25
755,1,578,4,15/08/2017 06:25,15/08/2017 06:29
756,2,766,13,30/06/2017 17:41,30/06/2017 17:54
757,1,901,40,03/07/2017 02:37,03/07/2017 03:17
758,3,776,47,01/01/2017 04:30,01/01/2017 05:17
759,2,647,78,30/01/2017 09:51,30/01/2017 11:09
760,2,491,69,10/03/2017 21:51,10/03/2017 23:00
761,2,681,26,31/03/2017 08:40,31/03/2017 09:06
762,1,562,47,23/05/2017 22:55,23/05/2017 23:42
763,2,54,28,05/03/2017 06:19,05/03/2017 06:47
764,3,980,72,15/04/2017 03:52,15/04/2017 05:04
765,3,189,23,02/01/2017 16:42,02/01/2017 17:05
766,2,823,13,15/04/2017 22:08,15/04/2017 22:21
767,1,469,89,05/03/2017 03:55,05/03/2017 05:24
768,1,498,62,15/01/2017 00:22,15/01/2017 01:24
769,2,741,72,07/06/2017 11:12,07/06/2017 12:24
770,1,323,22,01/05/2017 00:14,01/05/2017 00:36
771,2,469,48,01/04/2017 01:46,01/04/2017 02:34
772,2,15,58,21/05/2017 19:21,21/05/2017 20:19
773,2,243,51,15/07/2017 09:44,15/07/2017 10:35
774,1,519,4,02/04/2017 06:25,02/04/2017 06:29
775,3,838,10,19/01/2017 05:51,19/01/2017 06:01
776,3,553,28,18/07/2017 15:49,18/07/2017 16:17
777,1,492,79,09/08/2017 11:09,09/08/2017 12:28
778,2,171,41,26/04/2017 05:07,26/04/2017 05:48
779,3,305,64,14/06/2017 05:41,14/06/2017 06:45
780,3,18,63,16/08/2017 10:20,16/08/2017 11:23
781,3,276,44,07/01/2017 01:29,07/01/2017 02:13
782,1,721,45,20/03/2017 12:38,20/03/2017 13:23
783,1,110,15,27/03/2017 06:24,27/03/2017 06:39
784,2,20,32,14/07/2017 21:55,14/07/2017 22:27
785,2,393,77,24/03/2017 01:40,24/03/2017 02:57
786,1,187,89,09/06/2017 04:11,09/06/2017 05:40
787,2,744,77,01/05/2017 04:45,01/05/2017 06:02
788,2,500,40,04/02/2017 01:19,04/02/2017 01:59
789,1,775,2,01/09/2017 13:38,01/09/2017 13:40
790,2,887,69,12/07/2017 06:38,12/07/2017 07:47
791,2,991,85,12/04/2017 08:49,12/04/2017 10:14
792,1,689,58,27/02/2017 12:56,27/02/2017 13:54
793,2,617,38,01/03/2017 02:40,01/03/2017 03:18
794,2,446,61,26/04/2017 21:09,26/04/2017 22:10
795,1,729,52,03/09/2017 18:54,03/09/2017 19:46
796,1,989,39,28/07/2017 01:04,28/07/2017 01:43
797,3,58,60,13/04/2017 20:19,13/04/2017 21:19
798,2,203,53,09/05/2017 15:20,09/05/2017 16:13
799,1,253,79,18/08/2017 01:47,18/08/2017 03:06
800,2,114,60,11/01/2017 09:10,11/01/2017 10:10
801,1,469,4,06/05/2017 14:55,06/05/2017 14:59
802,3,130,30,03/06/2017 16:23,03/06/2017 16:53
803,1,392,23,01/04/2017 08:00,01/04/2017 08:23
804,2,999,79,16/01/2017 15:21,16/01/2017 16:40
805,2,388,21,12/03/2017 10:13,12/03/2017 10:34
806,2,605,35,18/08/2017 23:17,18/08/2017 23:52
807,3,11,51,05/08/2017 18:35,05/08/2017 19:26
808,3,781,58,22/07/2017 08:02,22/07/2017 09:00
809,1,735,33,13/07/2017 09:07,13/07/2017 09:40
810,2,165,57,11/04/2017 23:26,12/04/2017 00:23
811,1,993,52,03/09/2017 02:29,03/09/2017 03:21
812,2,409,46,15/01/2017 07:34,15/01/2017 08:20
813,3,570,79,22/05/2017 06:59,22/05/2017 08:18
814,3,833,83,15/04/2017 20:33,15/04/2017 21:56
815,3,494,63,27/01/2017 14:31,27/01/2017 15:34
816,1,40,50,09/03/2017 13:20,09/03/2017 14:10
817,2,666,83,17/04/2017 09:08,17/04/2017 10:31
818,2,905,62,27/06/2017 20:58,27/06/2017 22:00
819,1,344,77,20/03/2017 15:41,20/03/2017 16:58
820,3,455,76,04/04/2017 09:26,04/04/2017 10:42
821,1,221,41,18/01/2017 13:46,18/01/2017 14:27
822,1,945,34,10/05/2017 18:40,10/05/2017 19:14
823,1,753,68,18/01/2017 21:36,18/01/2017 22:44
824,2,730,54,07/07/2017 08:30,07/07/2017 09:24
825,3,825,22,20/07/2017 16:47,20/07/2017 17:09
826,2,990,48,09/04/2017 01:41,09/04/2017 02:29
827,2,710,33,26/03/2017 22:53,26/03/2017 23:26
828,3,488,57,06/08/2017 07:28,06/08/2017 08:25
829,3,530,26,10/02/2017 01:41,10/02/2017 02:07
830,3,790,43,12/08/2017 16:53,12/08/2017 17:36
831,3,925,54,18/08/2017 03:36,18/08/2017 04:30
832,2,675,28,09/07/2017 03:45,09/07/2017 04:13
833,1,896,15,20/03/2017 16:56,20/03/2017 17:11
834,2,447,75,27/01/2017 18:52,27/01/2017 20:07
835,2,198,57,04/06/2017 11:41,04/06/2017 12:38
836,1,374,73,19/02/2017 15:42,19/02/2017 16:55
837,1,937,9,21/06/2017 20:19,21/06/2017 20:28
838,1,823,52,16/05/2017 02:05,16/05/2017 02:57
839,2,206,72,02/02/2017 20:13,02/02/2017 21:25
840,3,1000,11,28/05/2017 04:00,28/05/2017 04:11
841,3,404,55,18/02/2017 14:02,18/02/2017 14:57
842,3,665,41,24/01/2017 17:25,24/01/2017 18:06
843,3,237,13,29/05/2017 20:25,29/05/2017 20:38
844,3,791,45,17/01/2017 11:52,17/01/2017 12:37
845,1,296,68,07/06/2017 06:17,07/06/2017 07:25
846,3,158,44,05/07/2017 07:10,05/07/2017 07:54
847,2,115,68,04/05/2017 01:35,04/05/2017 02:43
848,1,506,6,18/04/2017 23:29,18/04/2017 23:35
849,2,267,32,13/08/2017 11:28,13/08/2017 12:00
850,2,909,61,12/05/2017 14:58,12/05/2017 15:59
851,1,497,80,24/03/2017 21:51,24/03/2017 23:11
852,2,238,61,30/08/2017 05:19,30/08/2017 06:20
853,3,531,35,07/06/2017 03:37,07/06/2017 04:12
854,3,113,58,25/04/2017 07:06,25/04/2017 08:04
855,2,291,73,01/09/2017 22:54,02/09/2017 00:07
856,2,290,47,30/05/2017 02:10,30/05/2017 02:57
857,3,831,75,11/04/2017 21:46,11/04/2017 23:01
858,2,281,7,02/03/2017 04:28,02/03/2017 04:35
859,3,276,71,23/06/2017 08:21,23/06/2017 09:32
860,3,703,37,02/04/2017 09:38,02/04/2017 10:15
861,3,663,86,09/05/2017 04:13,09/05/2017 05:39
862,2,571,12,06/02/2017 16:12,06/02/2017 16:24
863,2,106,84,30/03/2017 21:42,30/03/2017 23:06
864,3,513,37,07/08/2017 08:04,07/08/2017 08:41
865,3,16,60,30/06/2017 13:20,30/06/2017 14:20
866,1,219,2,28/07/2017 20:34,28/07/2017 20:36
867,3,19,61,22/08/2017 01:23,22/08/2017 02:24
868,1,718,66,18/04/2017 17:40,18/04/2017 18:46
869,1,603,15,29/08/2017 08:13,29/08/2017 08:28
870,1,971,33,07/07/2017 23:11,07/07/2017 23:44
871,1,554,22,14/04/2017 23:18,14/04/2017 23:40
872,2,296,19,17/04/2017 15:49,17/04/2017 16:08
873,1,716,45,15/03/2017 20:07,15/03/2017 20:52
874,2,303,18,01/06/2017 17:53,01/06/2017 18:11
875,3,632,70,04/02/2017 08:44,04/02/2017 09:54
876,2,805,2,27/03/2017 10:12,27/03/2017 10:14
877,2,618,54,20/07/2017 05:10,20/07/2017 06:04
878,3,955,48,29/04/2017 22:54,29/04/2017 23:42
879,1,493,34,20/04/2017 07:06,20/04/2017 07:40
880,2,571,4,29/04/2017 01:43,29/04/2017 01:47
881,1,153,24,27/03/2017 13:44,27/03/2017 14:08
882,2,280,74,19/01/2017 07:16,19/01/2017 08:30
883,2,156,2,12/01/2017 08:27,12/01/2017 08:29
884,2,842,6,23/08/2017 08:54,23/08/2017 09:00
885,3,371,27,26/01/2017 18:11,26/01/2017 18:38
886,2,127,59,01/08/2017 05:23,01/08/2017 06:22
887,3,983,42,09/04/2017 13:16,09/04/2017 13:58
888,2,990,88,28/07/2017 00:37,28/07/2017 02:05
889,1,667,18,05/05/2017 08:30,05/05/2017 08:48
890,1,491,49,06/03/2017 11:34,06/03/2017 12:23
891,1,35,46,16/03/2017 06:19,16/03/2017 07:05
892,2,619,34,22/05/2017 05:02,22/05/2017 05:36
893,1,760,3,16/07/2017 23:55,16/07/2017 23:58
894,2,297,57,25/02/2017 12:14,25/02/2017 13:11
895,2,480,16,14/02/2017 18:16,14/02/2017 18:32
896,2,731,41,10/05/2017 09:31,10/05/2017 10:12
897,1,31,84,30/06/2017 07:52,30/06/2017 09:16
898,3,37,34,23/07/2017 03:41,23/07/2017 04:15
899,1,750,59,28/08/2017 16:15,28/08/2017 17:14
900,2,984,34,18/07/2017 20:39,18/07/2017 21:13
901,3,964,28,03/06/2017 11:52,03/06/2017 12:20
902,1,145,8,29/08/2017 02:15,29/08/2017 02:23
903,1,382,65,27/05/2017 16:53,27/05/2017 17:58
904,3,115,23,15/05/2017 12:28,15/05/2017 12:51
905,3,837,76,16/03/2017 11:47,16/03/2017 13:03
906,3,312,84,14/03/2017 23:56,15/03/2017 01:20
907,3,118,48,13/01/2017 02:21,13/01/2017 03:09
908,2,869,52,07/06/2017 19:46,07/06/2017 20:38
909,2,409,32,08/02/2017 07:21,08/02/2017 07:53
910,1,468,9,09/02/2017 05:56,09/02/2017 06:05
911,3,145,59,13/04/2017 13:37,13/04/2017 14:36
912,3,788,86,14/07/2017 10:07,14/07/2017 11:33
913,3,819,10,17/08/2017 01:00,17/08/2017 01:10
914,2,424,70,05/05/2017 06:50,05/05/2017 08:00
915,3,329,90,31/08/2017 09:33,31/08/2017 11:03
916,2,446,75,11/01/2017 19:59,11/01/2017 21:14
917,2,676,33,30/08/2017 17:31,30/08/2017 18:04
918,2,606,32,28/01/2017 07:41,28/01/2017 08:13
919,1,143,68,31/03/2017 19:45,31/03/2017 20:53
920,2,555,57,05/07/2017 06:03,05/07/2017 07:00
921,3,972,34,20/04/2017 08:45,20/04/2017 09:19
922,3,623,18,17/02/2017 21:34,17/02/2017 21:52
923,2,770,4,06/05/2017 07:10,06/05/2017 07:14
924,3,940,42,19/05/2017 12:56,19/05/2017 13:38
925,3,847,19,17/02/2017 11:56,17/02/2017 12:15
926,3,580,66,20/07/2017 19:23,20/07/2017 20:29
927,1,118,33,06/04/2017 01:04,06/04/2017 01:37
928,1,409,90,16/04/2017 12:33,16/04/2017 14:03
929,1,854,69,24/03/2017 09:43,24/03/2017 10:52
930,2,610,36,05/06/2017 13:04,05/06/2017 13:40
